AT8,How d'you think?,How d'you fink?,How d'you fink?,,,,,,,,,,,,,AT8v,"start=""sp1:start"" end=""sp1:start+1.2""",
AT9,But,But,But,,,,,,,,,,,,,AT9v,"start=""sp1:start"" end=""sp1:start+.9""",
AT10a,"But what if, like","But what if, like","But what if, like",,,,,,,,,,,,,,,
AT10b,"But what if, like","But what if, like","But what if, like",,,,,,,,,,,,,AT10v,"start=""sp1:start"" end=""sp1:start+2.7""",
AT11,Maybe sometimes,Maybe sometimes,Maybe sometimes,,,,,,,,,,,,,AT11v,"start=""sp1:start"" end=""sp1:start+2.7""",
AT12,"Well, I was thinking about that too, but","Well, I was finking 'bout dat too, but","Well, I was finking 'bout dat too, but",,,,,,,,,,,,,AT12v,"start=""sp1:start"" end=""sp1:start+4""",
AT13a,But what about when like,But what about when like,But what about when like,,,,,,,,,,,,,,,
AT13b,But what about when like,But what about when like,But what about when like,,,,,,,,,,,,,AT13v,"start=""sp1:start"" end=""sp1:start+3""",
AT14,"Do you think so too, or no?","You fink so too, or no?","You fink so too, or no?",,,,,,,,,,,,,AT14v,"start=""sp1:start"" end=""sp1:start+3.5""",
AT15,Do you think any other different things though?,You fink any ovher diff'ren' fings though,You fink any ovher diff'ren' fings though,,,,,,,,,,,,,AT15v,"start=""sp1:start"" end=""sp1:start+2.2""",
AT16,"Do you agree or, um, disagree with that?","Do you agree or, um, disagree wif dat?","Do you agree or, um, disagree wif dat?",,,,,,,,,,,,,AT16v,"start=""sp1:start"" end=""sp1:start+4.2""",
AT17a,I'm not sure about it though. What do you think?,I ain't sure about it though  Whatchu you fink?,I ain't sure about it though  Whatchu you fink?,,,,,,,,,,,,,,,
AT17b,I'm not sure about it though. What do you think?,I ain't sure about it though  Whatchu you fink?,I ain't sure about it though  Whatchu you fink?,,,,,,,,,,,,,AT17v,"start=""sp1:start"" end=""sp1:start+3.1""",
AT18,Any other ideas?,Any ovher ideas?,Any ovher ideas?,,,,,,,,,,,,,AT18v,"start=""sp1:start"" end=""sp1:start+1.5""",
AT19,What else,What else,What else,,,,,,,,,,,,,AT19v,"start=""sp1:start"" end=""sp1:start+2.4""",
AT20,Why?,Why?,Why?,,,,,,,,,,,,,,,
AT22a,What do you think?,What do you think?,Whatchu fink?,,,,,,,,,,,,,,,
AT22b,What do you think?,What do you think?,Whatchu fink?,,,,,,,,,,,,,,,
AT23,Wait why?,,Wait why?,,,,,,,,,,,,,,,
